m,Re_a_11,Im_a_11,Re_a_21,Im_a_21,Re_a_22,Im_a_22,Re_a_31,Im_a_31,Re_a_41,Im_a_41,Re_a_51,Im_a_51,Re_a_61,Im_a_61,I_11,I_21,I_22,I_31,I_41,I_51,I_61,I_sum_basis,I_total
1.2,2.4799744130979358,0.8513659065740159,2.8938021691857148,0.598513940564537,-0.382826969717878,0.40621979826875854,-0.3082903428332293,-1.1200042524231435,-0.11019985763373732,-0.3001743883806132,-0.11643636057985547,-0.19024893189280517,-0.10177191663464798,-0.22107772946536108,6.875096996497047,8.732309931434038,0.3115710132488839,1.3494524609301546,0.1022486720621712,0.04975208215143534,0.059232885481049116,17.479664041804778,17.66292878967082
1.210924369747899,2.3777283719494955,0.8410593243901936,2.916746620310152,0.7072281859816886,-0.38756760448885985,0.4011269222725124,-0.27791041166950636,-1.1595967236901428,-0.10718602479579968,-0.3054155035333816,-0.11626843378326342,-0.18373950817511792,-0.09873665399980533,-0.2187996234706358,6.360972997917287,9.007582554137645,0.3111114558210515,1.4218987585072278,0.1047674737100748,0.047278555558847336,0.05762220207396928,17.311233997726106,17.49722502882803
1.2218487394957984,2.27603395868356,0.8259062441201317,2.9333438977960347,0.8172107410470192,-0.3918111791396314,0.3956992029435233,-0.24448857340650537,-1.1983741653369802,-0.10386879576957836,-0.3113833243232452,-0.11646166453708834,-0.17712933041968573,-0.09559863680600471,-0.21641233098480359,5.86245170515738,9.272339818019853,0.31009385930892797,1.4958753026734521,0.1077483014012177,0.044938119001675506,0.05597339636144257,17.149420501923945,17.33780772875371
1.2327731092436975,2.17530050894614,0.8060223818930422,2.9434918677433495,0.9280723084857226,-0.3955550961696022,0.38996549995142626,-0.20803764454957652,-1.2360914700789902,-0.10019585417671241,-0.3180966412985854,-0.11704779918546053,-0.1704509229347584,-0.09236542117911736,-0.21393016003442675,5.381604384333869,9.52546258524925,0.3085369252581091,1.5712017839517751,0.11122468239964192,0.04275370442347084,0.05429748440195119,16.995081550018064,17.185553645693687
1.2436974789915967,2.075922745555172,0.7815497028059292,2.947099886755988,1.0394261031224394,-0.3987978952487841,0.3839560106088296,-0.16859044529131728,-1.2725004764146102,-0.09611034421468052,-0.32556894758124333,-0.1180571288012512,-0.1637383055223274,-0.08904395140173217,-0.21136722596996516,4.920275183469361,9.765804366369457,0.30646197933750785,1.6476802007189346,0.11523233789422274,0.04074771835611825,0.05260492949547235,16.848806715641075,17.041090443846908
1.2546218487394958,1.9782778708767232,0.7526547432489364,2.9441206198811556,1.1508687308744907,-0.4015401264612044,0.3776998283149942,-0.12620053756824237,-1.3073515785526857,-0.09155230746301844,-0.3338084002807595,-0.11951871352274948,-0.15702719121499228,-0.08564067502261953,-0.20873384425162295,4.480072496935663,9.992345060114062,0.30389163346765613,1.7250947256267124,0.11980987309980282,0.03894226166300281,0.05090414295439071,16.71106019386129,16.904871221044658
1.265546218487395,1.8827272542027902,0.719527980668565,2.934530172674794,1.261995886590745,-0.40378372978377586,0.37122607512729067,-0.0809419672313404,-1.3403960972210172,-0.08645833540898377,-0.3428172681984194,-0.12145974880198168,-0.15035520926950774,-0.08216154984818234,-0.20604030683887492,4.062382428682961,10.204100952110718,0.30085009929251016,1.8032132995046137,0.12499872313671935,0.037359159533517955,0.04920312831571308,16.582107790576757,16.777178507333957
1.276470588235294,1.7896074886337312,0.6823825903055117,2.9183335925406664,1.3724009505384365,-0.40553207466406993,0.3645639623142422,-0.03290999916136723,-1.3713879310462855,-0.08076210776610973,-0.35259167269209457,-0.12390573071477558,-0.14376176569283383,-0.07861222344242255,-0.20329503423627407,3.66834096292599,10.400155326390117,0.297363146199605,1.881787925464213,0.13084340570263386,0.036020075379083735,0.04750875261968922,16.462019594681333,16.658089714229135
1.2873949579831934,1.699238023486251,0.6414514927813947,2.8955650091956815,1.4816770324966564,-0.406790166010891,0.3577417671396765,0.017778947285276608,-1.4000850562291267,-0.07439489013513773,-0.3631213371532595,-0.12687983864882812,-0.13728859109718983,-0.07499812775222069,-0.20050509698976302,3.2988698780529404,10.579663551106485,0.29345741111938684,1.9605542556426896,0.13739170517419036,0.03494665070100405,0.04582701308521269,16.350710464881914,16.54778465208625
1.2983193277310925,1.61191290399532,0.5969873093209189,2.8662878241251892,1.5894190532448658,-0.40756448902991105,0.3507872299208916,0.07098729324440627,-1.426252073733603,-0.06728580681397642,-0.37438910017514354,-0.13040243689335348,-0.13097944778166254,-0.07132458847442368,-0.1976761442532607,2.9546570575568563,10.741858817546118,0.28916049339378497,2.0392341736315704,0.14469457812856143,0.034160411288914304,0.04416305492788181,16.24792858647369,16.44545371466169
1.3092436974789916,1.5279090866103946,0.5492593653872158,2.8305901680559797,1.6952278263010498,-0.40786266655509046,0.3437281972117502,0.12655688667014275,-1.449661973452751,-0.05936259965303481,-0.3863709078706757,-0.13449143816265058,-0.12488022113302714,-0.06759685878198414,-0.19481280982744673,2.6361920274121773,10.886038082560562,0.2845010283278687,2.1175364828385637,0.15280639668637663,0.033683016569291825,0.042521366190056434,16.153278400584895,16.350959538673585
